partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
1,3,2,3,1,3,-3,1,0,2,2,-1,-2,-2,-2,0,0,0,-2,-3,-1,-1,2,2,-2,-2,-3,-2,-1,-2,0,1,2,2,2,-1,2,1,-1,1,-1,1,-1,-3,-2,-1,1,2,0,4,19,7,4,402
2,1,0,-3,1,0,-3,0,0,-1,1,0,-2,3,-2,0,0,0,3,-3,-3,1,2,3,0,-2,-2,0,0,-3,0,0,2,2,2,-1,1,0,-2,1,-2,-2,-2,-3,-3,1,2,3,0,4,19,3,2,402
3,-2,-1,-2,0,-3,-3,-3,-3,0,3,0,-1,-3,-3,-3,1,3,-3,3,-3,-3,-1,3,-1,-3,-2,-3,1,-3,0,-1,1,1,2,-3,-2,-3,-3,1,-3,-3,-3,2,-3,-3,-3,3,1,7,19,5,1,402
5,3, ,-1,1,3,-2,1,3,-2,-2,2,0,3,0,0,0,0,0,-2,-3,2,3,3,0,1,0,0,-3,-3,-1,1,0,0,0,-3,3,2,-2,1,2,0,-3,-3,-1,1,2,3,1,4,21,5,4,402
6,-1,0,1,-2,2,-3,1,-3,1,0,0,3,-2,-1,2,-1,0,2,-3,-3,-1,2,3,0,0,-1,0,-3,0,-1,0,-2,-3,-2,-3,1,2,-2,0,2,-3,0,-3,-3,-2,-3,3,1,4,22,3,4,402
9,2,1,0,3,3,-1,0,0,2,0,0,-1,0,0,0,0,0,-1,-3,-2,-1,3,3,-2,-2,-2,-2,-3,-3,1,-1,-2,-3,-2,0,1,1,-3,1,0,-3,1,-3,-3,-3,0,2,1,4,19,2,4,402
10,1,1,-1,-1,2,-2,0,0,1,3,1,0,-3,-3,-3,2,3,0,-3,-3,-3,3,3,-3,-2,-3,-2,0,-3,0,1,-3,-3,-3,-3,0,0,-3,0,-3,-3,-3,-3,-3,-3,3,3,0,5,41,6,2,402
11,0,-1,-1,-3,2,-1,1,0,-3,-2,-3,-3,-3,-2,-3,3,3,-1,-3,-3,-2,0,3,-3,-3,-3,-3,-3,-3,0,0,-1,-1,-1,-3,-1,-3,-3, ,-3,-3,-3,-3,-3,-3,-3,2,0,4,22,3,2,402
12,-2,-3,-3,-2,2,-3,-3,1,3,3,2,0,-3,0,-2,3,3,2,-3,-3,-3,0,0,-3,1,-2,-3,-2,-2,0,-1,0,0,0,-3,0,-3,-3,0,-3,-3,-3,-3,-3,-3,0,0,0,4,19,2,3,402
13, ,-1,2,-3,1,-1,1,-1,-3,-3,3,3,-1,-1,-1,-1,-1,-1,-3,-3,-3,1,2,-2,-2,-2,-2,-3,-3,-1,-1,1,1,1,-3,0,0,-3,-3,-2,-3,-3,-3,-3,-3,-1,3,1,3,21,5,2,402
18,-3,-3,-3,-3,2,-2,-3,-3,0,3,0,2,-3,-2,-2,0,0,-1,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,0,4,20,6,4,402
21,2,0,3,3,0,-3,1,-1,2,3,3,1,-3,-3,-3,-1,0,-1,-3,-3,-3,3,3,-3,-2,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,2,3,0,3,22,7,2,402
24,-2,0,2,3,2,-3,0,2,2,3, ,-2,-3,-2,-2,-1,-1,-2,-3,-1,-1,3,3,-1,-1,-2,-2,-2,-1,-1,1,0,2,1,-1,1,0,-3,1,-3,-3,-3,-3,-3,-3,3,3,0,4,24,4,4,402
27,-2,2,3,-3,3,-3,-3,1,3,3,3,3,-1,-1,-1,-1,-1,-1,-3,-3,-3,3,3,-3,-3,-3,-2,-3,-3,1,0,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,3,3,0,6,23,6,4,402
34,-1,1,3,3,1,-3,-3,1,3,3,3,3,3,1,0,0,0,3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-1,0,3,3,2,1,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,0,3,0,4,30,6,1,402
37,2,2,0,-1,3,2,-1,-3,-3,-3,-3,-3,3,3,-2,-1,0,3,-2,-1,3,3,3,3,3,2,0,-1,-3,1,-1,3,3,2,3,3,3,-2,2,2,2,0,-3,-3,3,2,3,1,4,20,3,6,402
38,0,0,0,0,3,-3,-1,-1,0,2,0,0,0,3,-1,0,-1,3,-3,-2,-2,2,2,-3,-3,-3,-3,-3,-3,0,1,0,0,0,-3,-2,-3,-3,-3,-3,-3,-2,-3,-1,-1,-3,3,0,4,21,3,4,402
39,-2,0,-3,-2,3,1,-2,-1,-1,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,3,3,1,-2,-1,-1,1,-3,-1,0,0,1,2,1,2,2,2,-2,1,0,0,-2,-3,-2,2,2,1,1,3,20,2,3,402
40,3,2,0,-2,3,-3,3,-2,-2,-2,-2,2,-3,-2,-3,-3,-3,-3,-3,-3,1,3,3,-3,-2,-3,-3,3,3,0,-1,2,2,3,2,3,3,-1,3,0,-1,3,-3,-3,-3,-1,3,1,5,20,4,2,402
42,2,3,1,0,2,-3,-2,-1,-2,1,0,0,2,1,-1,0,0,1,0,-2,1,2,3,-1,2,-2,2,-1,-1,-1,1,-2,2,-2,0,2,2,-2,-2,0,-3,-3,-2,-2,2,3,3,1,4,20,3,4,402
43,-3,-3,-3,0,2,-3,0,-3,1,3,3,0,-2,-1,-1,-1,3,-2,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-1,0,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,5,20,3,4,402
45,2,1,-1,-1,2,-2,-2,-1,1,1,2,-2,1,1,1,-1,-3,1,-1,-2,-2,-1,2,-2,-2,-2,-2,-1,-1,1,0,-2,-2,-2,-3,1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,2,0,5,22,5,6,402
50,-1,0,-1,-2,2,-3,-2,-2,2,2,2,2,-1,2,2,2,2,0,1,-3,-1,-1,3,-1,-1,-1,-1,-2,-2,-1,-1,1,1,1,0,0,0,-3,0,0,0,0,1,-3,-3,-1,3,0,5,31,6,3,402
